action_id,product,product_version,platform,default_binding,context_scope,remappable,commonly_remapped,equivalent_gesture,discoverability,observed_workflow_ids,accidental_activation_cost,undoable,accessibility_notes,source_ids,confidence,notes
edit.duplicate_selection,FL Studio,unknown,unknown,Shift+drag,Playlist object drag,unknown,unknown,"pointer drag with Shift modifier",demonstrated in official tutorial,WF-FL-ARRANGE-001,unknown,unknown,"requires simultaneous modifier and pointer use",SRC-FL-OFFICIAL-ARRANGING-2025,medium,"Creates a copy while dragging; version/platform and remapping were not established"
edit.duplicate_selection,FL Studio,unknown,unknown,Ctrl+B,Playlist and Piano Roll selection context,unknown,unknown,"tutorial also demonstrates Shift+drag duplication",demonstrated in official tutorial,WF-FL-ARRANGE-001,unknown,unknown,"chord requires keyboard access; non-US/layout behavior unreviewed",SRC-FL-OFFICIAL-ARRANGING-2025,medium,"Places duplicate to the right; tutorial explicitly says command also works in Piano Roll"
time.set_loop_from_selection,FL Studio,unknown,unknown,Ctrl+drag,Playlist timeline,unknown,unknown,"modifier plus timeline pointer drag",demonstrated in official tutorial,WF-FL-ARRANGE-001,unknown,unknown,"requires simultaneous modifier and pointer use",SRC-FL-OFFICIAL-ARRANGING-2025,medium,"Creates a Playlist loop range; transcript and chapter boundary agree"
time.clear_loop,FL Studio,unknown,unknown,Ctrl+click,Playlist timeline loop context,unknown,unknown,"modifier plus timeline pointer click",demonstrated in official tutorial,WF-FL-ARRANGE-001,unknown,unknown,"requires simultaneous modifier and pointer use",SRC-FL-OFFICIAL-ARRANGING-2025,medium,"Product action observed; semantic ID is provisional and is not yet in the seed registry"
pattern.merge_selection,FL Studio,unknown,unknown,Ctrl+G,selected Playlist patterns,unknown,unknown,"mark patterns then invoke shortcut",demonstrated in official tutorial,WF-FL-ARRANGE-001,unknown,unknown,"keyboard-only selection path not shown",SRC-FL-OFFICIAL-ARRANGING-2025,medium,"Product action observed after split-by-channel; semantic ID is provisional and product-model-specific"
view.zoom_vertical,FL Studio,20,unknown,Alt+scroll,Playlist,unknown,unknown,"modifier plus wheel/scroll gesture",demonstrated in independent tutorial,WF-FL-PLAYLIST-002,low,not project-undoable,"requires simultaneous modifier and scroll input",SRC-FL-INTHEMIX-PLAYLIST-2018,medium,"Product action observed; semantic ID remains provisional"
view.zoom_horizontal,FL Studio,20,unknown,Ctrl+scroll,Playlist,unknown,unknown,"modifier plus wheel/scroll gesture",demonstrated in independent tutorial,WF-FL-PLAYLIST-002,low,not project-undoable,"requires simultaneous modifier and scroll input",SRC-FL-INTHEMIX-PLAYLIST-2018,medium,"Product action observed; semantic ID remains provisional"
view.zoom_project,FL Studio,20,unknown,Ctrl+right-click,Playlist,unknown,unknown,"modified pointer click",demonstrated in independent tutorial,WF-FL-PLAYLIST-002,low,not project-undoable,"requires simultaneous modifier and pointer use",SRC-FL-INTHEMIX-PLAYLIST-2018,medium,"Zooms out to project extent; semantic ID remains provisional"
tool.select_draw,FL Studio,20,unknown,P,Playlist,unknown,unknown,"select Draw tool from toolbar",demonstrated in independent tutorial,WF-FL-PLAYLIST-002,low,not project-undoable,"single-key command may conflict with text entry if focus handling is unclear",SRC-FL-INTHEMIX-PLAYLIST-2018,medium,"Mode/tool command; semantic ID remains provisional"
tool.select_slice,FL Studio,20,unknown,C,Playlist,unknown,unknown,"select Slice tool from toolbar",demonstrated in independent tutorial,WF-FL-PLAYLIST-002,medium,not project-undoable,"single-key command may conflict with text entry if focus handling is unclear",SRC-FL-INTHEMIX-PLAYLIST-2018,medium,"Mode/tool command; semantic ID remains provisional"
